,accuracy,precision,recall,f1,f2,mcc,roc_auc,pr_auc
Random Forest,0.8685,0.9250288350634371,0.802,0.8591322978039636,0.8239161701253339,0.7436061692434368,0.9249524999999998,0.9424576162364328
XGBoost,0.869,0.917420814479638,0.811,0.8609341825902336,0.8302620802620803,0.7430159420350487,0.9259575,0.9432042677707787
SVM (RBF),0.833,0.9826086956521739,0.678,0.8023668639053254,0.7228144989339019,0.7005095106495377,0.8884105000000002,0.9197768534508746
Decision Tree,0.821,0.9923312883435583,0.647,0.7832929782082324,0.6953998280309545,0.6848039931798159,0.8735085,0.8879431399747448
KNN,0.838,0.8730684326710817,0.791,0.8300104931794333,0.8061557276803913,0.6790065068569109,0.8976095,0.9115053175415397
Logistic Regression,0.7965,0.9229671897289586,0.647,0.7607289829512052,0.6881514571367794,0.6214284167549268,0.8741315000000001,0.9043451090128913
